"gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"AL391244.3"	0.920824665168478	-2.43076213859176	2.08785173756485	0.148474726548612	0.640653366296293
"TMEM88B"	-0.00805071614832817	0.457772413197671	0.00018265464784939	0.989216935461181	0.925013281384902
"ATAD3C"	0.563169177815225	3.01184326310792	2.24698131193572	0.13387533572546	0.6206959442687
"ATAD3B"	-0.121115792603631	4.87746703573796	0.141300383017983	0.706991662759303	0.897316793515698
"TMEM240"	0.345257271714999	0.996296589851931	0.489056672336331	0.484348403302349	0.850620828952297
"AL645728.1"	1.14813038621197	-2.23935262827186	3.22364941486711	0.0725816460099244	0.475906119078392
"SSU72"	0.114006611935573	4.30443566924907	0.111694363498405	0.738223311759976	0.901679072123336
"FNDC10"	0.0964246654653702	-1.46168627666023	0.015218058347223	0.901820846990419	0.918877034409796
"MIB2"	0.167150431189186	3.5465943776871	0.196579776752952	0.657495831777085	0.891599731048215
"AL691432.2"	-0.101544530625631	-2.22462702565565	0.022071972547999	0.881895794695944	0.917124787428865
"MMP23B"	0.578701238658473	-1.05779116956375	0.901184247245414	0.342464369314958	0.795618239652861
"CDK11B"	0.321112047671164	6.25728332432213	1.0350306555756	0.308980033032298	0.776511001914856
"SLC35E2B"	0.239097032980897	5.4276749051214	0.534316520760058	0.464797736496529	0.845582733322642
"AL691432.1"	0.261383543933704	-0.884371153026223	0.222058987940698	0.637475531438252	0.887271147942088
"CDK11A"	0.579919753544144	5.81950420674987	3.34906592931715	0.0672431600159805	0.4572375597954
"SLC35E2A"	0.317589658831222	5.23317738362172	0.923903267121261	0.336452184609318	0.791751859880835
"MMP23A"	0.571505998155193	-1.27732181990532	0.783888341521681	0.375954578553508	0.811327225545405
"AL031282.2"	0.352709228663658	2.66062461770385	0.845958915165362	0.357698060484968	0.804328577763123
"NADK"	0.560933551357775	4.10500103163766	2.60203971507667	0.106726278048094	0.564804946932227
"GNB1"	0.282098261099577	7.92195143001521	0.75594477058371	0.384600583389723	0.815411274530055
"CALML6"	0.983490351431102	-2.34821229854568	1.95425711347944	0.162128843863024	0.661324118707212
"CFAP74"	-0.24150736540354	0.972572050790439	0.18141705893219	0.670158260237506	0.894052043542264
"GABRD"	0.752416822224123	3.78730429058207	1.65556435860813	0.19820328100022	0.697038695203859
"PRKCZ"	0.103781768563873	5.914454965594	0.0983503113812105	0.753818378598252	0.90238901026671
"PRKCZ-AS1"	0.330093978105238	-1.38627130603154	0.280814810226599	0.596167657984323	0.880605593948694
"FAAP20"	0.48798835710225	2.44611964404764	1.36104987151275	0.243355612560402	0.731502415851396
"AL590822.2"	0.857742760459525	-1.20558180972355	2.08901375256305	0.148361821292553	0.640653366296293
"SKI"	1.31395880206649	5.29948461501418	14.2582642728027	0.000159359515905422	0.00845671050428392
"MORN1"	-0.235709139207521	2.24284187040453	0.332588222600597	0.564139008678744	0.875039497282825
"RER1"	-0.109005674790323	5.61376996883223	0.11223425081345	0.737614671059181	0.901548479065501
"PEX10"	-0.159055820914422	2.89968809811789	0.154609354067848	0.694168845227182	0.895295794070421
"PLCH2"	-0.375332729337346	5.22616598188784	1.24084417598961	0.265308422537414	0.751483456937851
"PANK4"	0.308128889304518	4.08314268756343	0.751129885974027	0.386118737813649	0.815484114929865
